供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度,分段
METR,OpenAI,frontier lab,合作,GPT-5.6 预览系统卡披露 METR 评测（作弊率高）,METR reported an unusually high detected rate of cheating on GPT-5.6 Sol's Time Horizon evaluations（搜索摘要）,https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf,2026-06-25,系统卡,高,overseas-rl
Mercor,OpenAI,frontier lab,客户,数据泄露后调查但未停止项目,OpenAI has not stopped current projects with Mercor but is investigating whether proprietary training data may have been exposed,https://www.benzinga.com/markets/tech/26/04/51652163/meta-halts-mercor-work-breach-openai-investigates-report,2026-04,媒体报道（转述）,中,buyer-side
Mercor,OpenAI,frontier lab,客户,ChatGPT 训练承包商（审阅真实用户提示）,"Mercor, an AI-training company that employs contractors working on OpenAI projects, confirmed... contracts prohibit workers from using LLMs",https://www.404media.co/people-training-openais-ai-fired-for-using-ai-to-train-the-ai/,2026-09,媒体报道,中,buyer-side
Mercor,OpenAI,frontier lab,客户,接替 Scale 提供专业化数据,"OpenAI, in particular, has turned to Mercor to meet its needs for more and increasingly specialized data, Bloomberg has reported",https://www.claimsjournal.com/news/national/2025/09/04/332758.htm,2025-09-04,媒体报道（转载 Bloomberg）,中,buyer-side
Mercor,OpenAI,frontier lab,客户,2026 H1 总收入 6.14 亿美元，约 91% 来自基础模型公司,Mercor had $614M in gross revenue in H1 2026 ... with ~91% from foundation model makers like OpenAI and Anthropic,https://www.techmeme.com/260721/p22,2026-07-21,媒体报道（The Information 转述）,中,overseas-large
Mercor,OpenAI,frontier lab,客户,超过 90% 的收入来自这三家,"More than 90% of that revenue comes from just three customers: OpenAI, Anthropic, and Google DeepMind",https://aiweekly.co/alerts/mercor-books-614m-in-h1-2026-leaning-on-openai-anthropic,2026-07,二手转述（搜索摘要）,中,overseas-large
Mercor,OpenAI,frontier lab,客户,泄露事件后 OpenAI 调查自身数据是否受影响，未停止项目,OpenAI has said it is investigating ... though it has not halted its projects with Mercor,https://techcrunch.com/2026/04/09/after-data-breach-10b-valued-startup-mercor-is-having-a-month,2026-04-09,媒体报道,中,overseas-large
Patronus AI,OpenAI,frontier lab,客户,LLM 自动评测/幻觉检测,"Patronus AI has partnered with several notable clients, including OpenAI, HP, and Pearson（搜索摘要）",https://www.prnewswire.com/news-releases/patronus-ai-raises-17-million-to-detect-llm-mistakes-at-scale-302152825.html,2024-05,新闻稿,中,overseas-rl
Proximal,OpenAI,frontier lab,投资方,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,第三方目录,低,overseas-rl
Sama,OpenAI,frontier lab,客户,为 ChatGPT 安全过滤标注有害文本（肯尼亚团队）,OpenAI partnered with Sama ... to detect and label toxic content,https://time.com/6247678/openai-chatgpt-kenya-workers/,2023-01,媒体报道,低,overseas-large
Scale AI,OpenAI,frontier lab,客户变动（停止合作等）,人类数据/标注,OpenAI is winding down its work with Scale AI... had been pulling back over the last six to 12 months,https://www.cnbc.com/2025/06/18/openai-is-winding-down-its-work-with-scale-ai-founder-is-joining-meta.html,2025-06-18,媒体报道,中,buyer-side
Scale AI,OpenAI,frontier lab,客户变动（停止合作等）,人类数据/标注,OpenAI drops Scale AI as a data provider following Meta deal,https://techcrunch.com/2025/06/18/openai-drops-scale-ai-as-a-data-provider-following-meta-deal/,2025-06-18,媒体报道,中,buyer-side
Scale AI,OpenAI,其他,客户,融资稿列出的客户,"Scale is trusted by industry leaders, including Meta, Morgan Stanley, Microsoft, the U.S. Army, the DoD's Defense Innovation Unit, OpenAI, General Motors, and Toyota Research Institute",https://www.businesswire.com/news/home/20240521674964/en/Scale-AI-Raises-$1-Billion-Series-F-to-Push-The-Frontier-of-AI-Data,2024-05-21,供应商官方新闻稿,低,overseas-large
SecureBio,OpenAI,frontier lab,合作,病毒学排障题库/生物能力评测,350 virology troubleshooting questions from SecureBio,https://openai.com/index/openai-o1-system-card/,2024-12,系统卡,中,buyer-side
Snorkel AI,OpenAI,frontier lab,合作,地理空间情报、网络安全应用 AI,work with OpenAI and Snorkel is helping advance applied AI in geospatial intelligence and cybersecurity（搜索摘要）,https://snorkel.ai/partners/,未知,官方博客,中,overseas-rl
Surge AI,OpenAI,科技大厂,客户,劳动诉讼称标注员为 Meta、OpenAI 等客户做训练项目,tasked with AI training projects for client companies including Meta Platforms Inc. and OpenAI Inc.,https://news.bloomberglaw.com/litigation/ai-training-firm-surge-ai-hit-with-worker-misclassification-suit,2025-05,公开诉讼文件（媒体转述）,中,overseas-large
Surge AI,OpenAI,frontier lab,客户,2021 年起成为客户,having landed clients like OpenAI in 2021 and Anthropic in 2022,https://research.contrary.com/company/surge-ai,2025,二手转述（搜索摘要）,低,overseas-large
Turing,OpenAI,其他,客户,为这些公司生成专家级数据集,"Turing works with OpenAI, Anthropic, Meta, Google, Microsoft, Nvidia, and Amazon to generate expert-level datasets",https://www.sourcery.vc/p/exclusive-inside-the-22b-ai-research,2025-03,媒体报道（搜索摘要）,中,overseas-large
Turing,OpenAI,frontier lab,客户,关键需求方，用于训练数据、评测、后训练,"Clients including OpenAI, Google, Anthropic, and Meta became key demand sources",https://sacra.com/c/turing/,2025,二手转述（搜索摘要）,低,overseas-large
Vals AI,OpenAI,frontier lab,客户,模型评测结果使用（法律/金融/编程基准）,"Vals' results are utilized by OpenAI, Anthropic, Google, Meta, and xAI（搜索摘要）",https://www.citybiz.co/article/890247/vals-ai-raises-40m-to-expand-independent-ai-benchmarking/,2026-08,搜索摘要,低,overseas-rl
Virtue AI,OpenAI,frontier lab,合作,外部红队测试,"external testers included ... METR, and Virtue AI",https://openai.com/index/openai-o1-system-card/external-testers-acknowledgements/,2024-12,系统卡致谢,中,buyer-side
未具名供应商,OpenAI,frontier lab,客户,Project Mercury：前投行人员做财务模型（$150/小时）,"Experts are recruited, managed and compensated by third party suppliers",https://www.entrepreneur.com/business-news/openai-is-paying-ex-investment-bankers-to-train-its-ai/498585,2025-10,媒体报道（转述 Bloomberg 中 OpenAI 发言）,中,buyer-side
未具名供应商,OpenAI,frontier lab,客户,RL 环境与人类数据（多份七位数合同）,OpenAI has already signed multiple seven-figure RL-environment and human-data contracts,https://www.wing.vc/content/rl-environments-for-agentic-ai-who-will-win-the-training-verification-layer-by-2030,2026,投资机构分析,低,buyer-side
Cua,Orange Collective,其他,投资方,YC S25；$500K 种子,"$500K in seed funding from 468 Capital, Orange Collective, and Script Capital（搜索摘要）",https://startupintros.com/orgs/cua,2025,第三方目录,低,overseas-rl
Prolific,Oxford,其他,客户,研究与企业客户,including industry giants like Google and prestigious institutions such as Stanford University,https://sacra.com/c/prolific/,2026,二手转述（搜索摘要）,低,overseas-large
Labelbox,P&G,企业,官网客户墙（转述）,标注平台生产用户,"Walmart, Procter & Gamble, Genentech, and Adobe use Labelbox for production workflows",https://7wdata.be/company/labelbox/,2025,二手转述（搜索摘要）,低,overseas-large
Innodata,Palantir,企业,客户,为 Palantir 项目做标注、多模态数据工程和生成式 AI 工作流支持,Innodata Selected by Palantir to Accelerate Advanced Initiatives in AI-Powered Rodeo Modernization,https://innodata.com/innodata-selected-by-palantir/,2025,供应商官方新闻稿,高,overseas-large
Prime Intellect,Parasail,其他,合作,INTELLECT-3 推理服务,"In November 2025, Prime Intellect named Parasail and Nebius as inference providers for INTELLECT-3（搜索摘要）",https://en.wikipedia.org/wiki/Prime_Intellect,2025-11,第三方目录,低,overseas-rl
BenchFlow,Pear VC,其他,投资方,$1M 种子轮,"$1M seed funding came in January 2025 from investors including YC, Pear, Construct, FAST-GETTYLAB, and Ankit Jain（搜索摘要）",https://www.startuphub.ai/startups/benchflow-ai,2025-01,第三方目录,低,overseas-rl
Patronus AI,Pearson,企业,客户,LLM 自动评测/幻觉检测,"Patronus AI has partnered with several notable clients, including OpenAI, HP, and Pearson（搜索摘要）",https://www.prnewswire.com/news-releases/patronus-ai-raises-17-million-to-detect-llm-mistakes-at-scale-302152825.html,2024-05,新闻稿,中,overseas-rl
Invisible Technologies,Perplexity,AI 应用公司,客户,多年期 RLHF 合同,"After signing multi-year contracts with Microsoft, Cohere, AI21, Mistral, and Perplexity",https://sacra.com/research/invisible-vs-mercor/,2025,分析机构（Sacra，搜索摘要）,低,buyer-side
数据堂 Datatang,Phantom AI,垂直 AI,财报披露,2022年前五大客户（自动驾驶/语音等训练数据）,2022年财报显示前五大客户…Phantom AI，年度销售占比5.76%,https://www.jiemian.com/article/10687034.html,2024-01,媒体报道（引2022年报，搜索摘要）,中,china
BenchFlow,Prime Intellect,AI 应用公司,合作,框架支持运行 Prime Intellect/Verifiers 托管环境,Run a hosted PrimeIntellect / Verifiers environment,https://raw.githubusercontent.com/benchflow-ai/benchflow/main/README.md,2026-09,官方博客,中,overseas-rl
Proximal,Prime Intellect,AI 应用公司,合作,FrontierSWE 以 Prime Intellect Environment 形式上架,FrontierSWE is also available as a Prime Intellect Environment,https://github.com/Proximal-Labs/frontier-swe,2026,官方 GitHub README,高,overseas-rl
Snorkel AI,Prime Intellect,其他,合作,300 万美元 Open Benchmarks Grants，资助开源智能体基准,"We're partnering up with @HuggingFace, @togethercompute, @PrimeIntellect, Factory HQ, @harborframework, and @PyTorch",https://x.com/SnorkelAI/status/2022006467000471903,2026-02,供应商官方,高,overseas-large
Snorkel AI,Prime Intellect,AI 应用公司,合作,$3M Open Benchmarks Grants 共同支持方,"a $3 million grant program ... established with support from Hugging Face, Prime Intellect, Together AI, Factory, Harbor, and PyTorch（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-highlights-first-wave-of-open-benchmarks-grants-projects-302833805.html,2026-07-24,新闻稿,高,overseas-rl
Abaka AI,PublicAI,AI 应用公司,合作,1024 万美元战略合作，为 KOR-Bench/SuperGPQA 征集难题,PublicAI Joins Forces with Abaka AI in $10.24M Global Mission,https://finance.yahoo.com/news/publicai-joins-forces-abaka-ai-153200161.html,2025,新闻稿（搜索摘要）,中,china
Snorkel AI,PyTorch,其他,合作,300 万美元 Open Benchmarks Grants，资助开源智能体基准,"We're partnering up with @HuggingFace, @togethercompute, @PrimeIntellect, Factory HQ, @harborframework, and @PyTorch",https://x.com/SnorkelAI/status/2022006467000471903,2026-02,供应商官方,高,overseas-large
Snorkel AI,PyTorch Foundation,其他,合作,$3M Open Benchmarks Grants 共同支持方,"a $3 million grant program ... established with support from Hugging Face, Prime Intellect, Together AI, Factory, Harbor, and PyTorch（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-highlights-first-wave-of-open-benchmarks-grants-projects-302833805.html,2026-07-24,新闻稿,高,overseas-rl
SuperAnnotate,Qualcomm,企业,客户,B 轮报道列出的客户,"customers include Databricks, Canva, Motorola Solutions, IBM, and Qualcomm",https://techcrunch.com/2024/11/18/superannotate-helps-companies-manage-their-ai-data-sets/,2024-11-18,媒体报道,低,overseas-large
Vmax,Race Capital,其他,投资方,早期投资,Race Capital and South Park Commons have invested in Vmax（搜索摘要）,https://www.rl-list.com/vendors/vmax,未知,第三方目录,低,overseas-rl
Prime Intellect,Ramp,企业,客户,托管后训练/RL 平台,"The startup's customers include Ramp, Zapier, and Flapping Airplanes, who pay the startup for a hosted version of its tools.（搜索摘要）",https://techcrunch.com/2026/07/08/prime-intellect-raises-130m-series-a-to-help-enterprises-build-their-own-ai-agents/,2026-07-08,媒体报道,中,overseas-rl
Toloka,Recraft,AI 应用公司,客户,专家数据 / LLM 与代理训练数据,"a trusted partner to leading frontier AI labs, model developers and enterprise clients including Amazon, Anthropic, Microsoft, poolside, Recraft and Shopify",https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05-07,新闻稿,高,overseas-rl
Vals AI,Reed Smith,企业,合作,法律 AI 基准律所联盟（律师对照组）,"developed in partnership with ... Legaltech Hub and a consortium of law firms including Reed Smith, Fisher Phillips, McDermott Will and Emery, and Ogletree Deakins（搜索摘要）",https://www.artificiallawyer.com/2025/02/27/vals-publishes-results-of-first-legal-ai-benchmark-study/,2025-02-27,媒体报道,中,overseas-rl
Snorkel AI,S32（联合领投）,其他,投资方,$350M E 轮，估值 $3.5B,"co-led by Insight Partners and S32, with significant participation from existing investors Addition, Greylock, Lightspeed, GV ... Wells Fargo（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-raises-350m-to-scale-the-data-factory-for-frontier-ai-302886796.html,2026-09-22,新闻稿,高,overseas-rl
Adaptive ML,SK Telecom,企业,客户,多语种内容审核，微调 Gemma 3,SK Telecom tuned open models as small as Gemma 3 4B to exceed frontier performance at multilingual content moderation（搜索摘要）,https://deepmind.google/models/gemma/gemmaverse/adaptiveml/,未知,合作方官方页面,高,overseas-rl
Arga Labs,SV Angel,其他,投资方,种子轮投资（$10M）,"General Catalyst led Arga's seed round, with BoxGroup, Emergence, Gradient and SV Angel participating（搜索摘要）",https://techcrunch.com/2026/08/26/arga-is-building-a-better-way-to-train-enterprise-ai-agents/,2026-08-26,媒体报道,中,overseas-rl
Fleet,SV Angel,其他,投资方,融资,"the company is supported by Sequoia Capital, Menlo Ventures, and SV Angel（搜索摘要）",https://sacra.com/c/fleet/,2026,搜索摘要,低,overseas-rl
Patronus AI,Samsung,科技大厂,投资方,B 轮 $50M 跟投（Digital World Models）,"round included participation from existing investors Notable Capital, Lightspeed Venture Partners, Datadog, Samsung, Factorial Capital（搜索摘要）",https://www.prnewswire.com/news-releases/patronus-ai-raises-50-million-series-b-and-unveils-first-digital-world-models-for-ai-agent-training-and-simulation-302811248.html,2026-06-25,新闻稿,高,overseas-rl
Gray Swan AI,Samsung Next,科技大厂,投资方,A 轮 $40M 跟投,"co-led by Wing Venture Capital and Madrona. Obvious Ventures, Snowflake Ventures, Hudson River Trading, Samsung Next ... also participated（搜索摘要）",https://www.finsmes.com/2026/06/gray-swan-raises-40m-in-series-a-funding.html,2026-06,媒体报道,中,overseas-rl
General Reasoning,Sarvam AI,AI 应用公司,合作,OpenReward 平台环境贡献者（自列）,"Contributors listed on the platform include Meta, Google DeepMind, Qwen, Nebius, Sarvam（搜索摘要）",https://openreward.ai/,未知,官网,低,overseas-rl
Haize Labs,Scale AI,其他,客户,多百万美元红队合同,"Haize has secured multi-million dollar contracts with Anthropic, Scale AI, and AI21（搜索摘要）",https://devcuration.substack.com/p/company-spotlight-haize-labs,未知,媒体报道,低,overseas-rl
Mercor,Scale AI,其他,客户变动（停止合作等）,被 Scale 起诉：前员工带走 100 多份客户策略文件，并向 Scale 大客户推销 Mercor,downloaded more than 100 customer strategy documents,https://www.claimsjournal.com/news/national/2025/09/04/332758.htm,2025-09-04,公开诉讼文件（媒体转述）,中,overseas-large
Labelbox,Scale 流失客户,frontier lab,客户变动（停止合作等）,CEO 称年底前可能从 Scale 流失客户处获得数亿美元新收入,"will ""probably generate hundreds of millions of new revenue"" by the end of the year from customers fleeing Scale",https://www.cnbc.com/2025/06/14/google-scale-ais-largest-customer-plans-split-after-meta-deal.html,2025-06,媒体报道（Reuters 转述）,中,overseas-large
Turing,Scale 流失客户（多家实验室）,frontier lab,客户变动（停止合作等）,Turing CEO 称 Meta-Scale 交易是转折点，承接流失客户,"Surge AI, Mercor, and Turing are the three fastest-growing independents, each picking up business from customers that left Scale",https://www.teahose.com/guides/scale-ai-competitors,2026,二手转述（搜索摘要）,低,overseas-large
Proximal,Scribble Ventures,其他,投资方,种子轮领投,last round was an early/seed-stage round (amount undisclosed) led by Scribble Ventures（搜索摘要）,https://www.fastaijobs.com/companies/proximal-ai,未知,第三方目录,低,overseas-rl
Mercor,Scripps Research,高校研究机构,共建基准,APEX 基准由 Mercor 与外部专家（Sunstein、Topol）合著,"Cass R. Sunstein (Harvard Law School), and Eric Topol (The Scripps Research Institute)",https://arxiv.org/html/2509.25721v1,2025-09,论文原文,高,overseas-large
Cua,Script Capital,其他,投资方,YC S25；$500K 种子,"$500K in seed funding from 468 Capital, Orange Collective, and Script Capital（搜索摘要）",https://startupintros.com/orgs/cua,2025,第三方目录,低,overseas-rl
Sama,Search,其他,官网客户墙（转述）,官网列出的企业客户,"enterprise clients, including Google (Gemini, Search, ODML), Walmart, and NASA, trust Sama",https://www.sama.com/,2025,供应商官网（搜索摘要）,低,overseas-large
Uber AI Solutions,Segments.ai,企业,投资方,Uber 收购多传感器标注平台 Segments.ai（被收购方）,Uber Buys Data Labeling Startup in Push to Sell AI Services,https://www.bloomberg.com/news/articles/2025-10-02/uber-buys-data-labeling-startup-in-push-to-sell-ai-services,2025-10-02,媒体报道,中,overseas-large
HUD,SemiAnalysis（Dylan Patel 天使）,其他,投资方,A 轮天使,"angel investments from Dylan Patel from SemiAnalysis, Roon from OpenAI, Ivan Burazin from Daytona, and Theo Browne.（搜索摘要）",https://www.hud.ai/blog/announcing-16m-series-a,2026,官方博客,中,overseas-rl
Fleet,Sequoia Capital,其他,投资方,融资,"the company is supported by Sequoia Capital, Menlo Ventures, and SV Angel（搜索摘要）",https://sacra.com/c/fleet/,2026,搜索摘要,低,overseas-rl
Irregular,Sequoia Capital,其他,投资方,$80M 融资领投，估值 $450M,"The $80 million funding round was led by Sequoia Capital and Redpoint Ventures, with participation from Wiz CEO Assaf Rappaport（搜索摘要）",https://techcrunch.com/2025/09/17/irregular-raises-80-million-to-secure-frontier-ai-models,2025-09-17,媒体报道,中,overseas-rl
Gray Swan AI,Sequrity.ai,AI 应用公司,合作,Safeguards 挑战赛奖金赞助,prizes sponsored by Sequrity.ai and the Gray Swan Arena's general Frontier Lab sponsors（搜索摘要）,https://app.grayswan.ai/arena/challenge/safeguards?panel=rules,2026,官方博客,高,overseas-rl
HUD,Sharpe,其他,客户,RL 环境/评测平台,"DoorDash, UiPath, and Sharpe correctly remain self-claimed customers on the RL List's HUD vendor profile（搜索摘要）",https://www.rl-list.com/vendors/hud,未知,第三方目录,低,overseas-rl
Toloka,Shopify,其他,客户,融资报道列出的客户，业务为安全评测、红队、专家数据,"now supports clients including Amazon, Microsoft, Anthropic, and Shopify",https://siliconangle.com/2025/05/07/ai-data-provider-toloka-raises-72m-funding/,2025-05-07,媒体报道,中,overseas-large
Toloka,Shopify,企业,客户,专家数据 / LLM 与代理训练数据,"a trusted partner to leading frontier AI labs, model developers and enterprise clients including Amazon, Anthropic, Microsoft, poolside, Recraft and Shopify",https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05-07,新闻稿,高,overseas-rl
Encord,Skydio,企业,客户,物理 AI 与多模态数据,"works with AI leaders like Woven by Toyota, Skydio, and Synthesia among more than 300 AI teams",https://encord.com/blog/encord-announces-60-million-series-c/,2026-02,供应商官方,高,overseas-large
Halluminate,Skyvern,AI 应用公司,共建基准,Web Bench 浏览器 agent 基准,Launch Announcement: In partnership with Skyvern ... author = {{Halluminate and Skyvern}},https://github.com/Halluminate/WebBench,2025-05,官方博客,高,overseas-rl
Halluminate,Skyvern,AI 应用公司,共建基准,Web Bench 浏览器 agent 基准,Web Bench: Compare AI Browser Agents... developed in partnership between Halluminate and Skyvern（搜索摘要）,https://www.skyvern.com/blog/web-bench-a-new-way-to-compare-ai-browser-agents/,2025-05,官方博客,中,overseas-rl
Cua,Snorkel AI,其他,共建基准,在 Cua-Bench 框架上共建 KiCad 计算机使用基准（CUA-Bench+）,"Snorkel researchers built the 25-task KiCad benchmark on top of the open Cua-Bench framework, with the Cua team providing the underlying harness and verifier support（搜索摘要）",https://snorkel.ai/cua-bench-computer-use-agent-benchmark/,2026,官方博客,中,overseas-rl
Deccan AI,Snowflake,其他,客户,后训练数据、评测、RL,Deccan's customers include Google DeepMind and Snowflake,https://techcrunch.com/2026/03/25/deccan-ai-raises-25m-as-ai-training-push-relies-on-india-based-workforce,2026-03-25,媒体报道,中,overseas-large
Gray Swan AI,Snowflake Ventures,科技大厂,投资方,A 轮 $40M 跟投,"co-led by Wing Venture Capital and Madrona. Obvious Ventures, Snowflake Ventures, Hudson River Trading, Samsung Next ... also participated（搜索摘要）",https://www.finsmes.com/2026/06/gray-swan-raises-40m-in-series-a-funding.html,2026-06,媒体报道,中,overseas-rl
Vmax,South Park Commons,其他,投资方,早期投资,Vmax - Companies - South Park Commons（搜索摘要）,https://www.southparkcommons.com/companies/vmax/,未知,投资方官网,高,overseas-rl
未具名供应商,SpaceX（原 xAI）,frontier lab,客户,讨论从失败创业公司购买运营与客户数据训练 Grok,SpaceX has held internal discussions about buying customer and operational information from troubled or defunct startups,https://www.bloomberg.com/news/articles/2026-09-17/spacex-discusses-buying-data-for-ai-models-from-failed-startups,2026-09-17,媒体报道,中,buyer-side
Abaka AI,Spinel Capital,其他,投资方,A轮800万美元，累计2000万美元,Total funding has reached $20 million from investors like Spinel Capital and Future Value Capital,https://finance.yahoo.com/sectors/technology/articles/abaka-ai-secures-8m-expand-140242975.html,2025/2026（未核）,融资稿,高,china
Prolific,Stanford,其他,客户,研究与企业客户,including industry giants like Google and prestigious institutions such as Stanford University,https://sacra.com/c/prolific/,2026,二手转述（搜索摘要）,低,overseas-large
Bespoke Labs,Stanford University,高校研究机构,共建基准,Terminal-Bench（Stanford+Laude 主导的开放学术合作；Bespoke 提供 API 额度）,Bespoke Labs provided API credits supporting leaderboard evaluations（搜索摘要）,https://arxiv.org/abs/2601.11868,2026-01,论文,低,overseas-rl
Bespoke Labs,Stanford University,高校研究机构,合作,OpenThoughts 推理数据集联合研究,"team of researchers and engineers from Bespoke Labs, Stanford, University of California Berkeley, University of Washington, UT Austin",https://raw.githubusercontent.com/open-thoughts/open-thoughts/main/README.md,未知,官方 GitHub README,高,overseas-rl
Encord,Synthesia,企业,客户,物理 AI 与多模态数据,"works with AI leaders like Woven by Toyota, Skydio, and Synthesia among more than 300 AI teams",https://encord.com/blog/encord-announces-60-million-series-c/,2026-02,供应商官方,高,overseas-large
Apollo Research,Tailscale,科技大厂,合作,Watcher 智能体监控接入 Tailscale Aperture 网关,We're partnering with @Tailscale to monitor AI agents across an entire organization（搜索摘要）,https://www.apolloresearch.ai/products/introducing-watcher-for-ai-oversight/,2026-02,官方博客,高,overseas-rl
倍赛 BasicFinder,TalkingData,其他,投资方,A轮数千万元,A轮融资，由五岳资本和Talkingdata投资,https://m.newseed.cn/news/1355191,未核（早于2024）,融资信息/搜索摘要,低,china
General Reasoning,Thinking Machines Lab,frontier lab,合作,OpenReward 与 Tinker 训练 API 兼容集成,"Works like magic with Tinker, Miles, Slime（搜索摘要）",https://x.com/GenReasoning/status/2036412836742590950,2026-03,官方社媒,中,overseas-rl
Proximal,Thinking Machines 员工（个人天使）,frontier lab,投资方,种子轮个人天使,"backers include Scribble Ventures (lead), and angels from OpenAI, Anthropic, Thinking Machines, Google DeepMind, xAI, Meta Superintelligence, Cursor and Cognition（搜索摘要）",https://www.rl-list.com/vendors/proximal,未知,第三方目录,低,overseas-rl
Vals AI,Thomson Reuters,垂直 AI,共建基准,法律 AI 基准（VLAIR）参评,"VLAIR in its first iteration included four providers: Thomson Reuters, vLex, Harvey, and Vecflow ... CoCounsel（搜索摘要）",https://www.vals.ai/industry-reports/vlair-2-27-25,2025-02-27,官方博客,中,overseas-rl
Bespoke Labs,Together AI,AI 应用公司,合作,联合举办推理数据集竞赛（Curator）,Launching Reasoning Datasets Competition with HuggingFace and Together.ai,https://raw.githubusercontent.com/bespokelabsai/curator/main/README.md,2025-04-09,官方 GitHub README,高,overseas-rl
Collinear AI,Together AI,AI 应用公司,合作,TraitBasis 模拟用户集成进 Together Evals,"partnership with Together continues to deepen, with TraitBasis ... now integrated into Together Evals（搜索摘要）",https://blog.collinear.ai/p/collinear-newsletter-10-notes-on,未知,官方博客,中,overseas-rl
Snorkel AI,Together AI,其他,合作,300 万美元 Open Benchmarks Grants，资助开源智能体基准,"We're partnering up with @HuggingFace, @togethercompute, @PrimeIntellect, Factory HQ, @harborframework, and @PyTorch",https://x.com/SnorkelAI/status/2022006467000471903,2026-02,供应商官方,高,overseas-large
Snorkel AI,Together AI,AI 应用公司,合作,$3M Open Benchmarks Grants 共同支持方,"a $3 million grant program ... established with support from Hugging Face, Prime Intellect, Together AI, Factory, Harbor, and PyTorch（搜索摘要）",https://www.prnewswire.com/news-releases/snorkel-ai-highlights-first-wave-of-open-benchmarks-grants-projects-302833805.html,2026-07-24,新闻稿,高,overseas-rl
Bespoke Labs,Toyota Research Institute,企业,合作,OpenThoughts 项目共同赞助/合作,# Sponsors - Bespoke Labs - Toyota Research Institute,https://raw.githubusercontent.com/open-thoughts/open-thoughts/main/README.md,未知,官方 GitHub README,高,overseas-rl
Scale AI,Toyota Research Institute,其他,客户,融资稿列出的客户,"Scale is trusted by industry leaders, including Meta, Morgan Stanley, Microsoft, the U.S. Army, the DoD's Defense Innovation Unit, OpenAI, General Motors, and Toyota Research Institute",https://www.businesswire.com/news/home/20240521674964/en/Scale-AI-Raises-$1-Billion-Series-F-to-Push-The-Frontier-of-AI-Data,2024-05-21,供应商官方新闻稿,低,overseas-large
Bespoke Labs,UC Berkeley,高校研究机构,合作,OpenThoughts 推理数据集联合研究,"team of researchers and engineers from Bespoke Labs, Stanford, University of California Berkeley, University of Washington",https://raw.githubusercontent.com/open-thoughts/open-thoughts/main/README.md,未知,官方 GitHub README,高,overseas-rl
Pareto.AI,UCL,高校研究机构,论文致谢,标注员参与 AI 安全研究（辩论评测）,"Pareto.AI's skilled labelers contributed to AI safety research conducted by teams at UCL, ML Alignment & Theory Scholars, and Anthropic",https://pareto.ai/blog/advancing-ai-alignment-through-human-judged-llm-debates,2024,供应商官方,低,overseas-large
Gray Swan AI,UK AISI,政府,合作,Gray Swan Arena 红队竞技场赞助,"Frontier Lab sponsors: UK AISI, OpenAI, Anthropic, Amazon, Meta, and Google DeepMind（搜索摘要）",https://app.grayswan.ai/arena/about,2026,官方博客,高,overseas-rl
Gray Swan AI,UK AISI,政府,合作,智能体红队挑战赛联合举办,UK AISI × Gray Swan Agent Red-Teaming Challenge: Results Snapshot（搜索摘要）,https://www.grayswan.ai/blog/uk-aisi-x-gray-swan-agent-red-teaming-challenge-results-snapshot,2025,官方博客,高,overseas-rl
Gray Swan AI,US AISI,政府,合作,加入 UK AISI 智能体红队挑战赛,Gray Swan AI Welcomes U.S. AI Safety Institute to the UK AISI Agent Red-Teaming Challenge（搜索摘要）,https://www.grayswan.ai/news/gray-swan-ai-welcomes-u-s-ai-safety-institute-to-the-uk-aisi-agent-red-teaming-challenge,2025,官方博客,高,overseas-rl
Gray Swan AI,US CAISI (NIST),政府,合作,CAISI 发布大规模红队竞赛智能体安全研究,Insights into AI Agent Security from a Large-Scale Red-Teaming Competition（搜索摘要）,https://www.nist.gov/blogs/caisi-research-blog/insights-ai-agent-security-large-scale-red-teaming-competition,未知,官方博客,高,overseas-rl
HUD,UiPath,企业,客户,RL 环境/评测平台,"DoorDash, UiPath, and Sharpe correctly remain self-claimed customers on the RL List's HUD vendor profile（搜索摘要）",https://www.rl-list.com/vendors/hud,未知,第三方目录,低,overseas-rl
LMArena,University of California (UC Investments),高校研究机构,投资方,A 轮 $150M 联合领投，估值 $1.7B,funding round was led by Felicis and UC Investments（搜索摘要）,https://techcrunch.com/2026/01/06/lmarena-lands-1-7b-valuation-four-months-after-launching-its-product/,2026-01-06,媒体报道,中,overseas-rl
Gray Swan AI,University of Oxford (OATML),高校研究机构,合作,Safeguards 挑战赛联合赞助,"The Safeguards Challenge is co-sponsored by UK AISI, the University of Oxford (OATML), and Sequrity.ai（搜索摘要）",https://app.grayswan.ai/arena/challenge/safeguards?panel=rules,2026,官方博客,高,overseas-rl
